Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 53.3 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
(2004 VZ75)                        	| RA, DEC 05 55 10.83 +19 05 55.9	| EL, AZ: 44.7  335.3	| Mag: 23.1 	| moon_dis: 161.1
468861 (2013 LU28)                 	| RA, DEC 05 46 52.55 +18 33 20.6	| EL, AZ: 44.3  332.5	| Mag: 18.5 	| moon_dis: 159.1
524366 (2001 XR254)                	| RA, DEC 08 45 32.41 +17 02 26.8	| EL, AZ: 44.0  33.0 	| Mag: 22.3 	| moon_dis: 156.5
(2010 JH124)                       	| RA, DEC 03 40 14.44 -34 20 51.8	| EL, AZ: 43.1  243.5	| Mag: 29.6 	| moon_dis: 101.7
55565 Aya (2002 AW197)             	| RA, DEC 10 15 56.45 -07 43 24.4	| EL, AZ: 42.8  79.5 	| Mag: 20.0 	| moon_dis: 124.1
3317 Paris (1984 KF)               	| RA, DEC 04 10 27.00 -02 40 59.6	| EL, AZ: 42.4  288.2	| Mag: 16.7 	| moon_dis: 127.7
82055 (2000 TY40)                  	| RA, DEC 03 49 18.84 -12 16 13.2	| EL, AZ: 41.5  273.5	| Mag: 19.6 	| moon_dis: 117.8
471339 (2011 ON45)                 	| RA, DEC 08 25 45.62 +22 28 34.2	| EL, AZ: 41.3  24.0 	| Mag: 22.3 	| moon_dis: 162.8
437360 (2013 TV158)                	| RA, DEC 03 58 34.83 -06 06 57.6	| EL, AZ: 41.3  282.3	| Mag: 22.2 	| moon_dis: 123.3
472265 (2014 SR303)                	| RA, DEC 08 32 21.76 +21 53 25.7	| EL, AZ: 41.2  26.2 	| Mag: 23.3 	| moon_dis: 161.1
12929 Periboea (1999 TZ1)          	| RA, DEC 03 53 40.18 -08 18 02.2	| EL, AZ: 41.1  279.0	| Mag: 18.1 	| moon_dis: 121.0
(2014 SB349)                       	| RA, DEC 04 44 18.55 +11 35 20.5	| EL, AZ: 40.8  310.3	| Mag: 23.3 	| moon_dis: 142.5
(2015 VV1)                         	| RA, DEC 09 00 56.67 +18 35 22.7	| EL, AZ: 40.6  36.0 	| Mag: 25.0 	| moon_dis: 153.7
90482 Orcus (2004 DW)              	| RA, DEC 10 37 37.43 -13 32 34.9	| EL, AZ: 39.8  89.3 	| Mag: 19.0 	| moon_dis: 116.3
(2015 PK312)                       	| RA, DEC 03 59 06.58 -02 23 26.0	| EL, AZ: 39.8  286.8	| Mag: 25.3 	| moon_dis: 125.6
69987 (1998 WA25)                  	| RA, DEC 05 35 32.91 +22 30 59.0	| EL, AZ: 39.6  331.8	| Mag: 23.6 	| moon_dis: 157.9
(2014 SS303)                       	| RA, DEC 09 07 44.91 +18 47 47.4	| EL, AZ: 39.5  37.6 	| Mag: 26.1 	| moon_dis: 152.3
880665 (2014 WP509)                	| RA, DEC 07 31 05.31 +27 45 14.3	| EL, AZ: 39.5  6.5  	| Mag: 21.0 	| moon_dis: 175.2
523681 (2014 BV64)                 	| RA, DEC 10 26 43.56 -05 15 02.0	| EL, AZ: 39.3  78.0 	| Mag: 21.5 	| moon_dis: 123.4
495190 (2012 VS113)                	| RA, DEC 03 52 43.05 -04 18 39.4	| EL, AZ: 39.2  283.6	| Mag: 23.3 	| moon_dis: 123.2
523752 (2014 VU37)                 	| RA, DEC 05 02 34.39 +17 48 24.1	| EL, AZ: 39.2  320.1	| Mag: 21.4 	| moon_dis: 149.1
543354 (2014 AN55)                 	| RA, DEC 10 07 08.93 +03 46 35.2	| EL, AZ: 39.2  64.7 	| Mag: 20.9 	| moon_dis: 132.5
Bernardinelli-Bernstein (C/2014    	| RA, DEC 05 02 29.00 -69 57 36.2	| EL, AZ: 39.0  193.5	| Mag: inf  	| moon_dis: 81.5 
145453 (2005 RR43)                 	| RA, DEC 05 02 17.47 +18 17 07.8	| EL, AZ: 38.8  320.4	| Mag: 20.4 	| moon_dis: 149.2
(2008 UA332)                       	| RA, DEC 03 46 43.55 -06 28 30.9	| EL, AZ: 38.8  280.3	| Mag: 23.2 	| moon_dis: 120.7
(2010 TJ)                          	| RA, DEC 03 44 31.62 -07 06 39.1	| EL, AZ: 38.5  279.3	| Mag: 21.9 	| moon_dis: 119.9
120348 (2004 TY364)                	| RA, DEC 03 47 25.43 -04 57 49.6	| EL, AZ: 38.3  282.1	| Mag: 20.3 	| moon_dis: 121.7
145451 Rumina (2005 RM43)          	| RA, DEC 05 38 09.53 +24 16 43.9	| EL, AZ: 38.3  333.5	| Mag: 20.7 	| moon_dis: 158.8
(2014 QG442)                       	| RA, DEC 03 54 54.45 +00 08 05.6	| EL, AZ: 37.7  289.0	| Mag: 23.3 	| moon_dis: 126.1
2363 Cebriones (1977 TJ3)          	| RA, DEC 04 01 36.12 +03 06 32.0	| EL, AZ: 37.6  293.3	| Mag: 17.1 	| moon_dis: 129.1
(2014 SO350)                       	| RA, DEC 03 43 36.21 -04 23 10.8	| EL, AZ: 37.2  282.3	| Mag: 23.6 	| moon_dis: 121.3
145474 (2005 SA278)                	| RA, DEC 04 04 53.21 +05 24 45.5	| EL, AZ: 37.0  296.3	| Mag: 21.9 	| moon_dis: 131.0
472262 (2014 QN441)                	| RA, DEC 03 49 27.64 -00 39 21.5	| EL, AZ: 36.8  287.3	| Mag: 22.2 	| moon_dis: 124.5
729736 (2011 OF45)                 	| RA, DEC 10 32 40.68 -02 01 13.4	| EL, AZ: 36.6  75.1 	| Mag: 23.0 	| moon_dis: 124.0
(2014 QM441)                       	| RA, DEC 04 25 25.50 +12 58 56.8	| EL, AZ: 36.5  307.6	| Mag: 23.4 	| moon_dis: 139.0
(2014 SN350)                       	| RA, DEC 03 31 19.94 -08 54 23.3	| EL, AZ: 36.2  275.6	| Mag: 23.2 	| moon_dis: 116.2
(2014 YL50)                        	| RA, DEC 03 28 48.47 -10 12 30.2	| EL, AZ: 36.1  273.8	| Mag: 23.3 	| moon_dis: 115.0
612687 (2003 UN284)                	| RA, DEC 05 24 53.47 +25 25 45.5	| EL, AZ: 35.8  330.9	| Mag: 23.9 	| moon_dis: 156.0
455502 (2003 UZ413)                	| RA, DEC 04 10 35.18 +09 32 02.1	| EL, AZ: 35.8  301.5	| Mag: 21.0 	| moon_dis: 134.2
30505 (2000 RW82)                  	| RA, DEC 03 50 26.85 +02 39 58.2	| EL, AZ: 35.4  291.0	| Mag: 19.4 	| moon_dis: 126.5
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 11.45 +10 35 07.1	| EL, AZ: 35.4  57.6 	| Mag: 21.8 	| moon_dis: 136.1
(2015 PD312)                       	| RA, DEC 03 36 35.99 -03 18 32.5	| EL, AZ: 35.2  282.6	| Mag: 23.8 	| moon_dis: 120.4
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-09 19:00 -- UTC: 2026-04-09 22:00
447178 (2005 RO43)                 	| RA, DEC 07 43 53.96 -14 01 03.9	| EL, AZ: 79.7  323.7	| Mag: 19.2 	| moon_dis: 139.6
527443 (2007 UM126)                	| RA, DEC 07 13 50.29 -17 42 31.6	| EL, AZ: 76.2  287.7	| Mag: 23.0 	| moon_dis: 136.5
654190 (2014 YY49)                 	| RA, DEC 08 35 30.03 +00 55 49.7	| EL, AZ: 65.7  16.4 	| Mag: 24.4 	| moon_dis: 148.5
(2014 XZ40)                        	| RA, DEC 06 37 07.32 -11 09 35.3	| EL, AZ: 65.3  293.5	| Mag: 23.5 	| moon_dis: 142.0
(2013 RG98)                        	| RA, DEC 06 19 45.90 -13 11 45.2	| EL, AZ: 62.4  285.1	| Mag: 22.5 	| moon_dis: 138.8
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.86 -15 16 58.5	| EL, AZ: 62.1  80.3 	| Mag: 20.7 	| moon_dis: 122.0
(2005 TV189)                       	| RA, DEC 06 53 42.72 -01 06 28.9	| EL, AZ: 61.9  316.9	| Mag: 23.1 	| moon_dis: 152.7
(2013 RN30)                        	| RA, DEC 08 48 10.77 +05 01 57.1	| EL, AZ: 60.9  20.4 	| Mag: 25.0 	| moon_dis: 149.5
208996 Achlys (2003 AZ84)          	| RA, DEC 08 43 01.98 +05 44 41.1	| EL, AZ: 60.6  17.5 	| Mag: 20.3 	| moon_dis: 150.9
(2012 YF12)                        	| RA, DEC 06 32 42.57 +00 05 34.7	| EL, AZ: 57.4  310.7	| Mag: 22.3 	| moon_dis: 152.4
55638 (2002 VE95)                  	| RA, DEC 07 05 11.68 +06 10 54.5	| EL, AZ: 57.4  329.6	| Mag: 20.8 	| moon_dis: 160.3
55565 Aya (2002 AW197)             	| RA, DEC 10 15 56.33 -07 43 23.2	| EL, AZ: 56.2  69.3 	| Mag: 20.0 	| moon_dis: 124.7
(2014 SA365)                       	| RA, DEC 06 06 07.10 -02 25 21.9	| EL, AZ: 54.1  299.6	| Mag: 22.6 	| moon_dis: 147.3
523644 (2010 VX11)                 	| RA, DEC 06 20 52.28 +02 06 15.2	| EL, AZ: 53.9  309.6	| Mag: 21.0 	| moon_dis: 153.0
(2012 VB116)                       	| RA, DEC 06 14 10.58 +00 30 56.6	| EL, AZ: 53.8  305.6	| Mag: 22.1 	| moon_dis: 150.8
90482 Orcus (2004 DW)              	| RA, DEC 10 37 37.31 -13 32 33.4	| EL, AZ: 53.7  82.4 	| Mag: 19.0 	| moon_dis: 116.9
620074 (2013 AT183)                	| RA, DEC 08 55 41.06 +12 17 51.5	| EL, AZ: 53.4  19.4 	| Mag: 23.2 	| moon_dis: 152.7
523681 (2014 BV64)                 	| RA, DEC 10 26 43.44 -05 15 00.8	| EL, AZ: 52.6  68.0 	| Mag: 21.5 	| moon_dis: 124.1
(2014 UY224)                       	| RA, DEC 06 11 48.15 +02 59 24.2	| EL, AZ: 51.7  308.0	| Mag: 22.4 	| moon_dis: 152.7
543354 (2014 AN55)                 	| RA, DEC 10 07 08.82 +03 46 36.1	| EL, AZ: 51.0  51.5 	| Mag: 20.9 	| moon_dis: 133.2
60558 Echeclus (2000 EC98)         	| RA, DEC 08 13 54.92 +16 33 05.9	| EL, AZ: 51.0  1.9  	| Mag: 21.0 	| moon_dis: 163.4
649172 (2010 XE91)                 	| RA, DEC 06 30 21.89 +09 49 54.7	| EL, AZ: 49.6  320.7	| Mag: 23.1 	| moon_dis: 160.9
729736 (2011 OF45)                 	| RA, DEC 10 32 40.19 -02 01 10.0	| EL, AZ: 49.6  64.8 	| Mag: 23.0 	| moon_dis: 124.7
524366 (2001 XR254)                	| RA, DEC 08 45 32.37 +17 02 27.1	| EL, AZ: 49.5  13.6 	| Mag: 22.3 	| moon_dis: 157.2
768325 (2015 BP519)                	| RA, DEC 04 59 53.35 -28 25 12.1	| EL, AZ: 47.1  252.0	| Mag: 21.3 	| moon_dis: 116.9
(2015 VV1)                         	| RA, DEC 09 00 56.56 +18 35 23.4	| EL, AZ: 47.0  18.3 	| Mag: 25.0 	| moon_dis: 154.4
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 57 23.92 -06 13 36.9	| EL, AZ: 46.3  74.9 	| Mag: 22.1 	| moon_dis: 117.2
(2014 SS303)                       	| RA, DEC 09 07 44.77 +18 47 47.8	| EL, AZ: 46.3  20.4 	| Mag: 26.1 	| moon_dis: 153.0
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 11.34 +10 35 07.8	| EL, AZ: 46.2  44.1 	| Mag: 21.8 	| moon_dis: 136.8
523671 (2013 FZ27)                 	| RA, DEC 11 05 50.05 -08 29 29.3	| EL, AZ: 45.4  79.1 	| Mag: 21.0 	| moon_dis: 114.3
472265 (2014 SR303)                	| RA, DEC 08 32 21.74 +21 53 25.2	| EL, AZ: 45.3  7.8  	| Mag: 23.3 	| moon_dis: 161.8
471339 (2011 ON45)                 	| RA, DEC 08 25 45.64 +22 28 32.8	| EL, AZ: 44.9  5.6  	| Mag: 22.3 	| moon_dis: 163.5
(2014 SZ348)                       	| RA, DEC 04 48 42.78 -24 57 17.6	| EL, AZ: 44.3  256.6	| Mag: 24.1 	| moon_dis: 118.2
(2014 VW37)                        	| RA, DEC 04 51 43.87 -19 31 03.4	| EL, AZ: 44.0  264.2	| Mag: 23.1 	| moon_dis: 122.9
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 23.49 -06 15 04.1	| EL, AZ: 42.3  77.6 	| Mag: 17.2 	| moon_dis: 113.5
229762 G!kun||'homdima (2007 UK1   	| RA, DEC 05 29 59.04 +05 43 27.9	| EL, AZ: 41.9  301.2	| Mag: 19.7 	| moon_dis: 147.9
527604 (2007 VL305)                	| RA, DEC 05 04 06.69 -03 06 56.2	| EL, AZ: 41.2  286.6	| Mag: 23.2 	| moon_dis: 137.2
659 Nestor (A908 FE)               	| RA, DEC 10 45 19.12 +08 22 06.1	| EL, AZ: 40.9  55.7 	| Mag: 16.4 	| moon_dis: 127.1
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 26.36 -07 06 11.3	| EL, AZ: 40.4  80.0 	| Mag: 15.2 	| moon_dis: 110.9
386723 (2009 YE7)                  	| RA, DEC 04 57 22.19 -04 30 28.0	| EL, AZ: 40.3  284.0	| Mag: 21.8 	| moon_dis: 135.0
119979 (2002 WC19)                 	| RA, DEC 06 33 16.27 +21 31 54.3	| EL, AZ: 40.2  330.5	| Mag: 20.8 	| moon_dis: 169.6
160140 (2001 DZ3)                  	| RA, DEC 11 32 25.44 -09 54 28.0	| EL, AZ: 39.9  84.3 	| Mag: 19.6 	| moon_dis: 108.0
(2015 VT152)                       	| RA, DEC 04 37 36.31 -14 59 31.7	| EL, AZ: 39.6  268.9	| Mag: 22.5 	| moon_dis: 124.1
1143 Odysseus (1930 BH)            	| RA, DEC 11 09 53.97 +02 19 26.0	| EL, AZ: 39.4  66.8 	| Mag: 15.5 	| moon_dis: 118.9
(2013 UR15)                        	| RA, DEC 05 08 18.48 +03 06 40.4	| EL, AZ: 39.0  294.4	| Mag: 25.3 	| moon_dis: 142.1
20000 Varuna (2000 WR106)          	| RA, DEC 08 56 04.54 +27 16 03.1	| EL, AZ: 39.0  13.6 	| Mag: 20.4 	| moon_dis: 157.3
880665 (2014 WP509)                	| RA, DEC 07 31 05.34 +27 45 13.9	| EL, AZ: 39.0  349.3	| Mag: 21.0 	| moon_dis: 175.8
82075 (2000 YW134)                 	| RA, DEC 10 08 57.95 +19 29 34.1	| EL, AZ: 38.9  37.3 	| Mag: 21.5 	| moon_dis: 139.5
534251 (2014 SW223)                	| RA, DEC 09 09 34.34 +27 01 01.3	| EL, AZ: 38.4  17.4 	| Mag: 23.7 	| moon_dis: 154.3
612911 (2004 XR190)                	| RA, DEC 05 30 45.97 +11 40 17.1	| EL, AZ: 38.3  307.4	| Mag: 22.0 	| moon_dis: 151.7
3451 Mentor (1984 HA1)             	| RA, DEC 04 53 32.33 +00 14 28.9	| EL, AZ: 37.3  288.8	| Mag: 16.5 	| moon_dis: 137.5
(2016 FX58)                        	| RA, DEC 11 47 26.18 -12 00 13.8	| EL, AZ: 37.1  88.4 	| Mag: 23.4 	| moon_dis: 103.7
(2004 VZ75)                        	| RA, DEC 05 55 10.97 +19 05 56.2	| EL, AZ: 37.1  319.3	| Mag: 23.1 	| moon_dis: 160.5
468861 (2013 LU28)                 	| RA, DEC 05 46 52.69 +18 33 16.6	| EL, AZ: 36.2  317.0	| Mag: 18.5 	| moon_dis: 158.5
624 Hektor (A907 CF)               	| RA, DEC 11 48 04.97 -07 47 14.8	| EL, AZ: 35.5  83.6 	| Mag: 14.4 	| moon_dis: 105.7
Bernardinelli-Bernstein (C/2014    	| RA, DEC 05 02 30.67 -69 57 28.6	| EL, AZ: 35.2  197.9	| Mag: inf  	| moon_dis: 81.4 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-09 20:00 -- UTC: 2026-04-09 23:00
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.73 -15 16 56.7	| EL, AZ: 75.4  63.3 	| Mag: 20.7 	| moon_dis: 122.5
55565 Aya (2002 AW197)             	| RA, DEC 10 15 56.21 -07 43 22.0	| EL, AZ: 68.2  50.2 	| Mag: 20.0 	| moon_dis: 125.3
447178 (2005 RO43)                 	| RA, DEC 07 43 54.10 -14 00 58.4	| EL, AZ: 68.1  289.0	| Mag: 19.2 	| moon_dis: 139.8
90482 Orcus (2004 DW)              	| RA, DEC 10 37 37.18 -13 32 32.0	| EL, AZ: 67.2  70.9 	| Mag: 19.0 	| moon_dis: 117.5
654190 (2014 YY49)                 	| RA, DEC 08 35 29.99 +00 55 51.8	| EL, AZ: 65.2  339.6	| Mag: 24.4 	| moon_dis: 149.0
523681 (2014 BV64)                 	| RA, DEC 10 26 43.33 -05 14 59.7	| EL, AZ: 64.6  50.4 	| Mag: 21.5 	| moon_dis: 124.7
527443 (2007 UM126)                	| RA, DEC 07 13 50.42 -17 42 26.0	| EL, AZ: 62.5  274.7	| Mag: 23.0 	| moon_dis: 136.6
(2013 RN30)                        	| RA, DEC 08 48 10.69 +05 01 59.8	| EL, AZ: 62.1  348.8	| Mag: 25.0 	| moon_dis: 150.1
729736 (2011 OF45)                 	| RA, DEC 10 32 39.71 -02 01 06.7	| EL, AZ: 61.3  47.8 	| Mag: 23.0 	| moon_dis: 125.4
208996 Achlys (2003 AZ84)          	| RA, DEC 08 43 01.94 +05 44 41.9	| EL, AZ: 61.1  346.5	| Mag: 20.3 	| moon_dis: 151.5
543354 (2014 AN55)                 	| RA, DEC 10 07 08.71 +03 46 37.0	| EL, AZ: 60.2  30.2 	| Mag: 20.9 	| moon_dis: 133.9
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 57 23.83 -06 13 36.1	| EL, AZ: 59.3  62.4 	| Mag: 22.1 	| moon_dis: 117.9
523671 (2013 FZ27)                 	| RA, DEC 11 05 49.91 -08 29 28.1	| EL, AZ: 58.7  68.3 	| Mag: 21.0 	| moon_dis: 114.9
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 22.59 -06 14 55.2	| EL, AZ: 55.6  66.9 	| Mag: 17.2 	| moon_dis: 114.1
620074 (2013 AT183)                	| RA, DEC 08 55 41.01 +12 17 51.7	| EL, AZ: 55.1  354.3	| Mag: 23.2 	| moon_dis: 153.3
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 11.24 +10 35 08.4	| EL, AZ: 54.2  24.5 	| Mag: 21.8 	| moon_dis: 137.5
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 25.25 -07 06 07.0	| EL, AZ: 53.8  70.4 	| Mag: 15.2 	| moon_dis: 111.6
160140 (2001 DZ3)                  	| RA, DEC 11 32 24.26 -09 54 23.5	| EL, AZ: 53.5  75.9 	| Mag: 19.6 	| moon_dis: 108.6
(2014 XZ40)                        	| RA, DEC 06 37 07.41 -11 09 32.9	| EL, AZ: 52.0  281.0	| Mag: 23.5 	| moon_dis: 141.8
1143 Odysseus (1930 BH)            	| RA, DEC 11 09 53.13 +02 19 32.9	| EL, AZ: 51.5  53.9 	| Mag: 15.5 	| moon_dis: 119.6
659 Nestor (A908 FE)               	| RA, DEC 10 45 18.37 +08 22 09.5	| EL, AZ: 51.2  40.1 	| Mag: 16.4 	| moon_dis: 127.8
(2016 FX58)                        	| RA, DEC 11 47 26.05 -12 00 12.9	| EL, AZ: 50.9  81.4 	| Mag: 23.4 	| moon_dis: 104.4
(2005 TV189)                       	| RA, DEC 06 53 42.80 -01 06 27.6	| EL, AZ: 50.8  298.3	| Mag: 23.1 	| moon_dis: 152.6
524366 (2001 XR254)                	| RA, DEC 08 45 32.32 +17 02 27.3	| EL, AZ: 50.1  351.2	| Mag: 22.3 	| moon_dis: 157.9
624 Hektor (A907 CF)               	| RA, DEC 11 48 03.76 -07 47 10.3	| EL, AZ: 49.1  75.4 	| Mag: 14.4 	| moon_dis: 106.4
(2015 VV1)                         	| RA, DEC 09 00 56.45 +18 35 24.0	| EL, AZ: 48.9  357.1	| Mag: 25.0 	| moon_dis: 155.1
(2014 SS303)                       	| RA, DEC 09 07 44.62 +18 47 48.2	| EL, AZ: 48.8  359.6	| Mag: 26.1 	| moon_dis: 153.7
(2013 RG98)                        	| RA, DEC 06 19 46.13 -13 11 40.3	| EL, AZ: 48.8  275.6	| Mag: 22.5 	| moon_dis: 138.6
60558 Echeclus (2000 EC98)         	| RA, DEC 08 13 54.92 +16 33 06.6	| EL, AZ: 48.7  339.8	| Mag: 21.0 	| moon_dis: 164.1
3063 Makhaon (1983 PV)             	| RA, DEC 12 05 13.74 -16 53 09.8	| EL, AZ: 48.3  90.6 	| Mag: 15.5 	| moon_dis: 98.2 
55638 (2002 VE95)                  	| RA, DEC 07 05 11.75 +06 10 55.6	| EL, AZ: 48.3  309.8	| Mag: 20.8 	| moon_dis: 160.3
(2012 YF12)                        	| RA, DEC 06 32 42.66 +00 05 36.1	| EL, AZ: 45.7  295.3	| Mag: 22.3 	| moon_dis: 152.2
82075 (2000 YW134)                 	| RA, DEC 10 08 57.85 +19 29 34.5	| EL, AZ: 45.6  20.4 	| Mag: 21.5 	| moon_dis: 140.2
472265 (2014 SR303)                	| RA, DEC 08 32 21.71 +21 53 24.7	| EL, AZ: 44.8  348.0	| Mag: 23.3 	| moon_dis: 162.5
471339 (2011 ON45)                 	| RA, DEC 08 25 45.67 +22 28 31.4	| EL, AZ: 43.9  346.1	| Mag: 22.3 	| moon_dis: 164.2
11351 Leucus (1997 TS25)           	| RA, DEC 12 24 48.63 -15 39 51.8	| EL, AZ: 43.5  90.7 	| Mag: 18.2 	| moon_dis: 94.7 
523644 (2010 VX11)                 	| RA, DEC 06 20 52.44 +02 06 17.0	| EL, AZ: 42.2  295.4	| Mag: 21.0 	| moon_dis: 152.7
(2012 VB116)                       	| RA, DEC 06 14 10.66 +00 30 57.8	| EL, AZ: 41.6  292.4	| Mag: 22.1 	| moon_dis: 150.5
(2014 SA365)                       	| RA, DEC 06 06 07.22 -02 25 20.1	| EL, AZ: 41.3  287.7	| Mag: 22.6 	| moon_dis: 147.0
588 Achilles (A906 DN)             	| RA, DEC 12 36 21.31 -15 47 57.9	| EL, AZ: 40.9  92.0 	| Mag: 15.3 	| moon_dis: 92.2 
534251 (2014 SW223)                	| RA, DEC 09 09 34.17 +27 00 59.2	| EL, AZ: 40.6  0.2  	| Mag: 23.7 	| moon_dis: 155.0
20000 Varuna (2000 WR106)          	| RA, DEC 08 56 04.48 +27 16 02.9	| EL, AZ: 40.2  356.3	| Mag: 20.4 	| moon_dis: 158.0
4501 Eurypylos (1989 CJ3)          	| RA, DEC 12 35 32.15 -12 19 35.1	| EL, AZ: 40.0  87.5 	| Mag: 17.6 	| moon_dis: 93.9 
32532 Thereus (2001 PT13)          	| RA, DEC 12 31 23.53 -09 18 51.0	| EL, AZ: 39.9  83.4 	| Mag: 19.4 	| moon_dis: 96.2 
(2014 UY224)                       	| RA, DEC 06 11 48.43 +02 59 27.1	| EL, AZ: 39.8  294.8	| Mag: 22.4 	| moon_dis: 152.3
649172 (2010 XE91)                 	| RA, DEC 06 30 21.98 +09 49 55.6	| EL, AZ: 39.4  305.5	| Mag: 23.1 	| moon_dis: 160.6
3793 Leonteus (1985 TE3)           	| RA, DEC 12 33 24.57 -07 43 50.5	| EL, AZ: 38.9  81.7 	| Mag: 15.7 	| moon_dis: 96.5 
1583 Antilochus (1950 SA)          	| RA, DEC 12 54 28.91 -20 28 29.0	| EL, AZ: 37.9  99.2 	| Mag: 15.7 	| moon_dis: 86.2 
1437 Diomedes (1937 PB)            	| RA, DEC 13 13 38.95 -33 42 03.0	| EL, AZ: 35.7  116.4	| Mag: 15.4 	| moon_dis: 76.9 
--------------------------------------------------------------------------------------------------------------------------------------------------------


Local Time: 2026-04-09 21:00 -- UTC: 2026-04-10 00:00
555632 (2014 BZ57)                 	| RA, DEC 10 03 20.61 -15 16 54.8	| EL, AZ: 82.7  348.5	| Mag: 20.7 	| moon_dis: 123.1
90482 Orcus (2004 DW)              	| RA, DEC 10 37 37.06 -13 32 30.6	| EL, AZ: 78.9  38.4 	| Mag: 19.0 	| moon_dis: 118.1
55565 Aya (2002 AW197)             	| RA, DEC 10 15 56.10 -07 43 20.8	| EL, AZ: 75.2  6.5  	| Mag: 20.0 	| moon_dis: 125.9
523681 (2014 BV64)                 	| RA, DEC 10 26 43.21 -05 14 58.5	| EL, AZ: 72.3  14.4 	| Mag: 21.5 	| moon_dis: 125.3
523671 (2013 FZ27)                 	| RA, DEC 11 05 49.77 -08 29 26.9	| EL, AZ: 70.6  46.5 	| Mag: 21.0 	| moon_dis: 115.5
532037 Chiminigagua (2013 FY27)    	| RA, DEC 10 57 23.75 -06 13 35.2	| EL, AZ: 70.1  37.5 	| Mag: 22.1 	| moon_dis: 118.5
729736 (2011 OF45)                 	| RA, DEC 10 32 39.23 -02 01 03.4	| EL, AZ: 68.8  16.4 	| Mag: 23.0 	| moon_dis: 126.0
21900 Orus (1999 VQ10)             	| RA, DEC 11 15 21.70 -06 14 46.3	| EL, AZ: 67.3  47.1 	| Mag: 17.2 	| moon_dis: 114.8
160140 (2001 DZ3)                  	| RA, DEC 11 32 23.08 -09 54 19.0	| EL, AZ: 66.5  61.3 	| Mag: 19.6 	| moon_dis: 109.3
911 Agamemnon (A919 FB)            	| RA, DEC 11 25 24.14 -07 06 02.6	| EL, AZ: 66.1  53.1 	| Mag: 15.2 	| moon_dis: 112.2
(2016 FX58)                        	| RA, DEC 11 47 25.91 -12 00 11.9	| EL, AZ: 64.4  70.2 	| Mag: 23.4 	| moon_dis: 105.0
543354 (2014 AN55)                 	| RA, DEC 10 07 08.60 +03 46 37.9	| EL, AZ: 63.8  358.8	| Mag: 20.9 	| moon_dis: 134.5
3063 Makhaon (1983 PV)             	| RA, DEC 12 05 12.56 -16 53 00.9	| EL, AZ: 62.2  83.8 	| Mag: 15.5 	| moon_dis: 98.8 
624 Hektor (A907 CF)               	| RA, DEC 11 48 02.54 -07 47 05.7	| EL, AZ: 62.1  62.3 	| Mag: 14.4 	| moon_dis: 107.0
1143 Odysseus (1930 BH)            	| RA, DEC 11 09 52.30 +02 19 39.7	| EL, AZ: 61.2  32.8 	| Mag: 15.5 	| moon_dis: 120.3
659 Nestor (A908 FE)               	| RA, DEC 10 45 17.63 +08 22 12.9	| EL, AZ: 58.0  17.0 	| Mag: 16.4 	| moon_dis: 128.5
11351 Leucus (1997 TS25)           	| RA, DEC 12 24 47.50 -15 39 42.3	| EL, AZ: 57.4  84.2 	| Mag: 18.2 	| moon_dis: 95.3 
654190 (2014 YY49)                 	| RA, DEC 08 35 29.94 +00 55 53.9	| EL, AZ: 57.3  312.5	| Mag: 24.4 	| moon_dis: 149.4
79360 Sila-Nunam (1997 CS29)       	| RA, DEC 10 06 11.13 +10 35 09.0	| EL, AZ: 57.0  358.6	| Mag: 21.8 	| moon_dis: 138.1
(2013 RN30)                        	| RA, DEC 08 48 10.62 +05 02 02.6	| EL, AZ: 56.1  321.7	| Mag: 25.0 	| moon_dis: 150.6
208996 Achlys (2003 AZ84)          	| RA, DEC 08 43 01.89 +05 44 42.7	| EL, AZ: 54.8  320.6	| Mag: 20.3 	| moon_dis: 152.0
588 Achilles (A906 DN)             	| RA, DEC 12 36 20.05 -15 47 50.9	| EL, AZ: 54.8  85.9 	| Mag: 15.3 	| moon_dis: 92.8 
447178 (2005 RO43)                 	| RA, DEC 07 43 54.24 -14 00 52.8	| EL, AZ: 54.5  277.4	| Mag: 19.2 	| moon_dis: 139.9
